feature,coefficient
Embarked_Q,0.3154555534315058
Fare,0.09357347667687958
Parch,-0.0679823901113292
SibSp,-0.26708360926374614
Embarked_S,-0.3809796136298796
Age,-0.5142820070796679
Pclass,-0.9475764625166622
Sex,-2.6728906288556247
